text	label
RT @USER: when you in a public place and ya side hoes come outta no where 😭 {{URL}}	NG
@USER he ate my pussy i could..	NG
"When you give somebody that ""bitch"" look"	NG
Double Stuff Oreos mane say	OK
@USER lol la bitch happy bout Beatin our bench players	NG
Yahhhhhh bitch YAHHHH	NG
Whipped out some french in front of some babes at the post office. #winning	OK
where r the fun twins at @USER I'm trying to lick cheeto dust and coleslaw off your nips	NG
RT @USER: Ian worried bout a bitch who ain't worried bout me 😎💯	NG
RT @USER: Video: Renegade Cut: Snowpiercer — An analysis of Bong Joon-ho’s sci-fi action film. Topics include... {{URL}}…	OK
RT @USER: Life's a bitch, because if it was a slut, it would be easy.	NG
That niggah is me lol TMLT 😂😂😂	NG
Fuck you tweetin me emojis for faggot RT @USER: @USER ☺️ {{URL}}	NG
RT @USER: “@USER: Lastnight 🙆🍑 #HalloweenCostume {{URL}}” hoe that's your work outfit	NG
prolly sum hoe tryna get in the hurricane free RT @USER: @USER who sent that nigga to Twitter tho	NG
RT @USER: Nights like this I wish, ride low in the Chevy hit the switch. In the city burning killa with a bitch	NG
Need some Hispanic pussy	NG
Your bitch is a fake sack of potatoes	NG
Yes! Daryl and Michone are my niccas!RT @USER: @USER got it recorded! Been waiting months for this season premiere!!!	NG
RT @USER: @USER That has redneck written all over it lol. Drunks can use gravity to get down 😳	NG
@USER describing New Pussy like a Baltimore Love Thing out this bitch.	NG
RT @USER: I was HEAD FIRST EVERY TIME FOR YOU. . but now I'm pussy?😕	NG
I am a Yankee by birth, and lived much of my life in north. I see no diff in level of racism @USER @USER @USER	OK
RT @USER: Paybacks a bitch it really is!	NG
“@USER: U get what u put in. If all u offering is pussy don't be mad when all u receive is dick” 🙌	NG
@USER I forgot you're the same bull that said Yeezus was good and that J.Cole is trash {{URL}}	OK
If you got a nigga and you another nigga #wcw you a hoe 😂😂	NG
Now you're drinking till you're unconscious. Feel me when you get a fine bitch.	NG
I don't give a fuck about yo gal yo wifey or yo boo came here by myself bitch I'm Tryna bone	NG
@USER @USER Am not down with gay shit u better ask my bitch	NG
Look at you.. Now look at us.. All my niggas look pussy as fuck	NG
“@USER: I try to keep all my bitches on lay away” same way I feel	NG
@USER I'll come rape your wife bitch boy	NG
@USER Good read -> RT @USER: Why your cat thinks you're a huge, unpredictable ape {{URL}} {{URL}}	OK
RT @USER: “@USER: when someone brings up your other hoes in front of bae {{URL}}”	NG
RT @USER: @USER @USER You realize I’m going to have to get out all those #horror and other poems I wrote abo…	OK
' South Central niggahs really don't be lovin these hoes , these hoes don't be lovin these niggahs 󾍑 . We just be... {{URL}}	NG
“@USER: I should be the Global Ambassador of SOMETHING!!! I put ppl on” des nuts hoe ahh nigga	NG
RT @USER: Why girls be so embrrased when they pussy fart? Embrace that shit. Make the cheeks clap with it. We finna beatbox.	NG
I wonder who wrote that blog... Either a hoe dat let a few of them niggas beat to no avail, or a bitch nigga who hoe let a few of em beat	NG
RT @USER: Duh bitch	NG
RT @USER: Main reason why i aint got no girl cause i aint never found not 1 bitch who tryna get money wit me all y'all hoes like…	NG
"RT @USER: ""You like your lunch little boy?"" ""Nah bitch look what I'm eating cause of you"" {{URL}}"	NG
@USER @USER wheres my bitch wit my sammich then?	NG
RT @USER: Ariana Grande built like a 13 year old Chinese boy, bitch shaped like an iPhone 3GS but niggas go crazy over her.. She no…	NG
"Bitches ah have a baby & be like ""don't claim my child"" bitch you good & goddamn well ain't NOBODY claiming your creature 👽😂"	NG
Y'all dumb bitches out here FUCKING UP	NG
RT @USER: Our taxi driver is fucking retarded.. He doesn't know how to get from grapevine to lewisville	NG
Ol heads always think a young nicca gon runoff wit they sacc	NG
RT @USER: Pete carroll prolly got the hoes lined up for his players after the game bruh	NG
RT @USER: Niggas fufu & bitches is too	NG
RT @USER: We don't want no skinny bitches get out! WE WANT BIG BOOTY BITCHES!	NG
RT @USER: You bitches could never be nae ...let him tell you he love him some nae 💏💑👑	NG
@USER eew bitch get out of my carrrr	NG
If I post a picture of my woman, All you hoes jumping off a bridge tonight! Lol	NG
RT @USER: A photographer hid in a trash can to get these adorable engagement photos {{URL}} {{URL}}	OK
@USER @USER always down patty never been a pussy 😼	NG
Dude said 1:30 bitch I took a whole nap before my 5:30 midterms	NG
“@USER: So that history test made me its bitch 😂😞” haha	NG
RT @USER: I wonder if those fans in LA feel like Charlie Brown after Lucy pulls the ball away... #JoeyVotto	OK
Bought that bitch mozzarella sticks. Bitches love mozzarella sticks	NG
She wanna talk shit.. but then have a friendship .. fuck you bitch and I hope u offended	NG
Im the niggah she really wanna ride wit	NG
@USER thanks nig😜	NG
Its a bitch living in a country where you have two choices for President and fifty choices for Miss America .....	NG
RT @USER: Oh BO-stop with the speech-like you give one tinkers damn about the kids,the poor,any of the crap you are spouting-you've prov…	NG
@USER lol da nicca was str8 n Friday wit out it but dude str8 Uncle Tom nicca now	NG
RT @USER: Fox News presenters mock female pilot who took part in campaign against Isis #wtf {{URL}}	OK
“@USER: @USER upload our pictures”. Wat pictures bitch	NG
I beg to differ on that lip bittin shit. Dis bitch bit my lip nd tried to suck my blood. Aint shit sexy about that	NG
RT @USER: Hate to break the news but u spam bro RT @USER: A dyke a tuck her titties in the winter and start calling herself Mr.…	NG
Hidey hidey hoe {{URL}}	NG
"@USER hey #teabagger Bohner said he got ""98% of what he wanted"" in sequester. You sound like a moron when everyone knows you are LYING"	OK
"Nigga you made it RT @USER: Nigga we made it..🙌🙌""@USER: Best rider? That goes to a blaxican."""	NG
RT @USER: Getting the field ready for today's game. {{URL}}	OK
Tattoos are about expression not meaning. One mans trash is another mans treasure 💡💰	OK
RT @USER: Can't trust none of these hoes	NG
@USER ha bitch who angry bitch am taller and older then your fake ass boy stfu your making yourself look like a dumbass pussy boyy!	NG
RT @USER: if you can't do or say certain shit in front of yo bitch then don't do it	NG
"I don't understand when people say ""yea, my first time smoking I didn't get high""  Cause damn that fuckin sucks bruh I was retarded high"	NG
"Col. Sanders, Part 2: ""...and those sons of bitches— they dragged it out and extended it and watered it down that I’m so goddamn mad!"""	NG
Just got done taking some photos with brownie #flowcity	OK
RT @USER: bitch, bye 😂 RT @USER: Dawg look at this shit {{URL}}	NG
Conan Obrien needs to get a life with that $80 million..monkey food maybe.	OK
fuck twitter i aint getting on this bitch no more ✌️😡🔫	NG
Coors light is trash. Yuck. I don't even like beer.	OK
